Age,Gender,Country,Job Title,Trading Volume per Month (USD),Deposit Volume per Month (USD),Withdrawal Volume per Month (USD),Current Balances (USD)
66,Female,Canada,Market Strategist,34149.19,9953.07,755.06,21522.35
44,Female,Germany,Analyst,6538.54,15963.86,14413.87,42114.57
76,Female,Brazil,Compliance Officer,40074.28,1039.41,29990.19,33470.68
80,Female,China,Risk Manager,45737.23,29547.83,26085.44,78714.7
59,Male,France,Compliance Officer,17769.81,24757.15,27996.57,74763.86
45,Female,UK,Broker,35321.57,19050.31,18725.07,35855.34
77,Male,France,Market Strategist,7495.39,1869.62,25780.79,99227.4
33,Female,China,Quantitative Analyst,34571.74,2292.36,9624.97,97383.78
32,Other,India,Analyst,1170.63,16371.96,869.55,91783.35
79,Male,Australia,Compliance Officer,7623.5,8587.68,27551.61,58650.8
79,Other,Japan,Compliance Officer,35523.08,18702.54,6592.0,41231.07
64,Female,USA,Broker,35621.33,17965.86,21868.17,31302.29
79,Female,UK,Compliance Officer,32094.02,25167.61,19786.07,1503.21
68,Female,Japan,Market Strategist,23920.46,8477.24,4787.0,63180.67
61,Male,France,Compliance Officer,33777.91,17357.01,5913.58,55316.19
72,Other,Brazil,Wealth Manager,38712.66,23332.03,9905.72,62987.15
69,Male,USA,Broker,48327.43,14748.65,22720.07,57595.49
74,Male,UK,Analyst,44443.19,24927.78,1225.37,13771.59
20,Female,Japan,Analyst,39747.26,3981.72,12241.71,69537.94
54,Other,USA,Compliance Officer,34768.4,22030.24,19970.14,36043.58
68,Female,USA,Market Strategist,28750.36,28292.31,5185.55,51629.48
24,Male,UK,Market Strategist,6118.38,9989.91,3626.55,36565.38
38,Female,Germany,Portfolio Manager,8361.29,11021.78,11736.86,2199.99
26,Other,Australia,Trader,41031.95,2552.31,8632.45,87655.38
56,Female,Germany,Wealth Manager,40185.31,19262.71,19490.42,14873.34
35,Other,USA,Portfolio Manager,30761.5,16595.9,29088.58,58217.31
21,Other,China,Trader,21998.12,1258.36,183.84,88313.1
42,Female,Canada,Risk Manager,1399.03,22578.75,27076.28,22132.92
77,Male,China,Financial Advisor,16426.13,24887.07,13025.03,41201.47
31,Female,UK,Trader,21089.92,27218.23,19937.03,37773.2
67,Male,USA,Financial Advisor,24342.23,16394.74,25538.26,8922.05
75,Male,USA,Broker,46473.3,13604.77,17225.09,42351.73
26,Female,Brazil,Compliance Officer,5524.6,26290.31,2964.49,47947.85
43,Male,Australia,Trader,25991.46,11990.97,4260.83,2659.73
70,Male,Brazil,Market Strategist,18459.32,19680.52,23688.94,48814.38
19,Female,UK,Wealth Manager,49505.9,18480.1,6911.49,9383.01
37,Female,India,Risk Manager,43107.01,11196.22,17092.68,89246.27
45,Female,Germany,Analyst,21995.41,2652.35,12871.01,65015.77
64,Male,Brazil,Portfolio Manager,49984.81,691.4,9143.99,5642.69
77,Other,UK,Compliance Officer,25751.76,12875.72,23619.68,82704.3
24,Male,Germany,Portfolio Manager,8439.18,14461.99,21949.94,36159.94
61,Other,UK,Portfolio Manager,27838.15,24689.21,19400.96,22561.71
78,Female,India,Quantitative Analyst,11387.67,12461.63,11211.51,25392.12
25,Other,Australia,Portfolio Manager,31852.01,8470.74,6832.79,59771.86
64,Female,Australia,Portfolio Manager,46878.26,13889.79,15501.05,8155.29
52,Female,UK,Quantitative Analyst,39331.31,7177.81,24522.27,5874.51
31,Other,Brazil,Quantitative Analyst,13730.87,2786.25,17291.17,62751.3
34,Female,Australia,Wealth Manager,14913.25,3435.64,29105.68,98190.95
53,Other,Canada,Trader,3557.48,9608.68,512.35,48342.84
67,Female,Brazil,Trader,14364.8,429.66,29950.49,41328.33
57,Male,Japan,Wealth Manager,4721.98,6645.09,20757.7,94719.77
21,Male,France,Quantitative Analyst,25022.49,23636.32,24988.59,24099.06
19,Female,UK,Financial Advisor,35446.52,7076.78,10081.82,24054.1
79,Female,UK,Analyst,37583.94,3366.35,15274.82,90511.61
23,Other,UK,Wealth Manager,3070.51,28474.96,23919.83,64693.12
71,Male,India,Risk Manager,17063.8,18692.98,22831.45,5378.38
59,Other,UK,Wealth Manager,14479.77,1847.78,10054.33,67397.74
21,Female,Australia,Quantitative Analyst,5304.59,1914.21,9766.09,82003.15
71,Female,Australia,Financial Advisor,18187.32,18383.06,19901.2,27395.33
46,Other,France,Compliance Officer,15036.07,16226.86,28013.09,38289.29
80,Female,France,Quantitative Analyst,31761.51,2097.82,13191.64,19767.66
35,Male,China,Broker,44176.8,6768.25,10620.61,63334.63
43,Other,Brazil,Broker,22796.6,27874.84,26845.88,66419.49
61,Male,Australia,Analyst,37358.59,17181.72,20507.53,6853.58
51,Male,Australia,Quantitative Analyst,7385.92,13237.75,11678.87,67770.47
27,Male,India,Market Strategist,44758.82,7542.15,1765.42,65845.46
79,Other,Australia,Broker,7714.48,4054.26,21658.6,3513.45
53,Female,Australia,Portfolio Manager,9685.85,12108.82,10618.95,55537.01
31,Male,China,Compliance Officer,5412.54,27674.88,2163.46,61393.84
48,Male,Canada,Portfolio Manager,15553.01,1508.91,18388.06,43015.57
65,Male,China,Risk Manager,27665.28,29729.82,9724.06,90131.72
32,Female,Canada,Analyst,49400.91,6273.99,10186.77,32836.93
25,Female,China,Risk Manager,39689.06,12292.58,14401.15,6717.84
31,Other,Australia,Risk Manager,19083.75,1399.29,21538.37,67185.3
40,Female,China,Broker,28834.72,17564.23,8326.1,60522.03
77,Other,Australia,Quantitative Analyst,31203.07,14532.48,2474.33,98905.85
74,Other,Australia,Trader,41154.09,20017.88,12761.55,23130.83
79,Other,France,Broker,36848.94,16303.21,1695.02,39549.44
57,Other,USA,Wealth Manager,28507.63,11975.42,20933.19,46117.98
38,Other,Canada,Trader,33492.23,22145.81,28779.34,86150.79
33,Male,Japan,Quantitative Analyst,37321.29,799.38,19779.83,41456.8
62,Female,Brazil,Risk Manager,6743.89,16253.82,8297.94,77214.83
35,Male,Brazil,Financial Advisor,10102.73,3460.59,5491.99,15694.27
64,Other,China,Analyst,34460.36,13108.45,7021.87,40978.44
70,Female,USA,Quantitative Analyst,42536.24,23744.2,6687.22,15497.74
41,Male,India,Financial Advisor,20522.19,4316.7,9449.22,94967.89
43,Male,Japan,Compliance Officer,48996.53,28077.52,2965.53,17775.73
42,Other,Brazil,Risk Manager,10881.98,26660.72,26876.79,41907.27
77,Male,Germany,Portfolio Manager,20893.29,12476.41,26559.36,8226.07
77,Male,UK,Wealth Manager,18988.3,228.95,18476.33,92138.35
77,Male,Germany,Financial Advisor,46521.77,23702.86,1904.51,62381.88
62,Male,India,Quantitative Analyst,14340.39,26432.83,24129.82,96245.63
58,Male,Japan,Portfolio Manager,23592.46,5283.41,1900.57,4227.16
46,Other,Brazil,Broker,9442.97,27489.96,3237.32,17497.85
32,Other,China,Compliance Officer,26111.19,27427.21,9792.63,38004.88
62,Male,UK,Compliance Officer,42884.47,14165.16,12972.54,62135.99
18,Other,Canada,Broker,15271.57,23951.14,10648.97,32951.77
42,Other,Brazil,Compliance Officer,40558.52,13376.19,4998.63,71187.4
24,Female,Brazil,Portfolio Manager,45574.45,16943.19,3408.29,16512.95
26,Male,India,Portfolio Manager,3740.6,9629.18,25789.49,60063.66
41,Other,Brazil,Analyst,37845.58,4826.11,10927.28,39796.62
18,Other,Japan,Trader,12841.64,22408.77,6597.05,50824.1
61,Male,USA,Quantitative Analyst,8848.85,91.72,14635.39,56963.31
25,Female,Japan,Financial Advisor,30096.01,17407.6,1152.86,5989.59
41,Male,Canada,Analyst,35309.57,25947.35,18028.42,92402.43
80,Female,USA,Trader,19798.57,6677.25,7492.26,78609.18
28,Male,Brazil,Portfolio Manager,2054.77,10020.34,17965.98,44245.58
68,Male,Brazil,Risk Manager,45444.36,17645.2,18443.05,54746.95
34,Male,UK,Analyst,36564.27,7443.76,24286.26,3253.56
25,Male,Brazil,Market Strategist,13656.17,25432.23,6935.65,49794.73
52,Female,Australia,Compliance Officer,24893.51,11029.76,13930.77,42631.59
52,Female,Canada,Compliance Officer,1486.86,17469.33,28858.53,37448.53
50,Other,France,Portfolio Manager,17030.21,6822.33,21827.39,81535.21
76,Male,China,Trader,26174.51,1289.52,29261.55,18192.44
22,Female,UK,Wealth Manager,25909.46,5252.32,27824.6,17631.02
59,Female,Germany,Quantitative Analyst,10488.43,1433.66,18341.92,52167.78
56,Female,USA,Analyst,38859.69,14084.69,7954.71,68714.38
75,Male,France,Broker,15013.22,17619.79,22719.88,2244.05
58,Other,China,Market Strategist,29062.46,1388.02,20958.67,54584.05
45,Female,Brazil,Market Strategist,13648.96,2759.94,17687.26,29869.91
24,Male,Japan,Financial Advisor,21315.88,14591.47,20949.99,75688.15
26,Female,Australia,Market Strategist,10454.98,23985.44,18426.91,46887.19
25,Female,USA,Compliance Officer,31687.09,18858.87,15605.4,83407.53
29,Other,USA,Quantitative Analyst,21336.66,3186.07,12507.87,39697.6
51,Female,USA,Portfolio Manager,904.25,26631.89,1389.02,82708.95
50,Female,Canada,Market Strategist,1505.43,27527.63,25977.35,71650.71
65,Male,USA,Broker,23609.6,9782.46,25972.94,82825.74
72,Male,UK,Analyst,9242.97,18499.73,17841.72,81242.05
40,Other,China,Trader,29293.6,14795.2,8073.13,48636.44
79,Male,Japan,Quantitative Analyst,20468.77,28263.61,892.52,36809.14
41,Male,UK,Financial Advisor,32755.55,15287.02,92.79,76514.48
54,Other,UK,Market Strategist,47624.52,28800.98,2233.58,36152.41
52,Female,Australia,Compliance Officer,26483.93,6020.31,10828.6,8939.66
61,Other,Japan,Wealth Manager,39390.19,10398.83,5692.46,85884.46
57,Male,Australia,Risk Manager,37676.75,23451.29,7988.49,39719.82
39,Other,USA,Trader,46097.38,23519.14,21004.83,13260.4
44,Female,USA,Broker,10779.49,21978.89,28776.54,64647.68
52,Other,UK,Analyst,41383.62,25795.36,6242.94,88977.32
18,Male,UK,Financial Advisor,45285.47,21091.26,13996.04,86096.55
52,Male,USA,Portfolio Manager,19698.87,19100.75,29744.81,55444.68
54,Other,India,Risk Manager,15759.43,13794.8,27953.65,8807.11
64,Female,China,Analyst,47606.59,14039.28,10601.87,69660.31
31,Other,Canada,Quantitative Analyst,31418.88,12214.54,9624.69,60882.87
20,Female,France,Wealth Manager,19095.76,18625.34,7303.01,21014.83
18,Female,Brazil,Portfolio Manager,39612.2,12229.58,4704.32,90054.03
22,Other,Germany,Analyst,15293.25,4467.45,13828.56,8666.77
43,Female,Japan,Analyst,8902.74,3240.56,10266.56,37303.83
72,Male,Australia,Wealth Manager,27244.08,27737.94,22357.89,9453.31
80,Other,Japan,Risk Manager,28353.98,790.93,7144.15,91194.49
31,Female,USA,Analyst,41304.75,3208.74,22103.15,3538.41
56,Male,France,Portfolio Manager,22905.67,13386.88,8679.99,42576.48
44,Other,Germany,Trader,40747.87,7924.64,17802.23,86177.87
26,Male,UK,Analyst,15635.0,12205.17,19170.98,25138.23
32,Male,UK,Analyst,28810.87,3567.55,20169.85,10501.23
32,Male,Australia,Analyst,10502.79,3970.66,5301.4,12700.43
43,Female,China,Compliance Officer,19333.75,24029.7,8517.21,40493.51
59,Other,Brazil,Portfolio Manager,42891.23,22785.31,7421.16,42858.19
77,Other,China,Financial Advisor,10877.81,3172.37,17306.0,71807.69
30,Female,France,Analyst,40530.95,20050.32,2318.6,23792.87
68,Other,China,Quantitative Analyst,14215.3,18298.87,15571.78,70183.97
80,Male,Australia,Wealth Manager,1821.04,21415.21,2669.64,99897.6
49,Other,Germany,Wealth Manager,5585.74,14259.74,10144.83,86425.09
56,Female,Germany,Compliance Officer,37319.39,8136.11,20616.85,63557.43
66,Male,Germany,Broker,13177.34,19927.19,12406.29,93991.25
69,Female,UK,Quantitative Analyst,32741.87,11172.15,8446.24,99110.92
78,Male,India,Quantitative Analyst,34990.03,6607.64,18494.92,57027.39
49,Male,France,Portfolio Manager,17321.41,12288.44,22221.06,27363.01
21,Other,Brazil,Risk Manager,23798.46,22909.93,7674.82,91498.33
47,Male,France,Trader,20247.98,14300.01,9017.03,84419.48
54,Female,France,Portfolio Manager,47372.71,9030.93,19226.8,8461.13
40,Other,China,Analyst,16065.45,24964.47,28958.44,93637.47
56,Female,Canada,Compliance Officer,9247.82,26455.23,6455.45,36621.98
62,Male,France,Wealth Manager,18343.08,13025.85,19644.72,32208.59
32,Female,Australia,Financial Advisor,33508.83,11271.91,27202.37,34326.94
60,Female,Canada,Compliance Officer,34898.4,18400.33,13885.9,32001.83
46,Male,India,Broker,46210.46,1786.33,9539.48,51602.52
53,Other,Australia,Market Strategist,44099.55,20755.13,20022.79,57977.37
30,Female,France,Analyst,14487.19,23479.51,991.38,42563.54
49,Male,Japan,Compliance Officer,22812.65,11953.39,10836.81,41257.9
24,Other,UK,Portfolio Manager,37388.72,5279.74,7776.32,73731.38
76,Other,China,Broker,45835.21,913.11,6777.42,302.75
68,Other,USA,Risk Manager,16924.53,19135.51,5433.79,94688.65
39,Female,Brazil,Portfolio Manager,22277.63,8106.35,22125.05,71443.37
45,Female,Brazil,Broker,44983.97,13943.49,28655.24,70725.25
19,Female,Australia,Portfolio Manager,17988.35,11621.35,11573.88,42196.34
59,Other,Brazil,Wealth Manager,24077.6,5287.8,1520.64,96578.68
62,Female,Canada,Portfolio Manager,45234.76,15275.64,21581.41,32.32
79,Male,Germany,Trader,40131.94,13814.83,16169.22,7648.14
74,Female,Japan,Analyst,12247.2,18743.22,21723.16,80406.43
70,Female,USA,Financial Advisor,16307.27,7593.96,19454.73,73870.09
23,Other,Brazil,Analyst,17712.64,6478.44,27167.81,27135.55
45,Female,Brazil,Financial Advisor,45645.65,24439.63,4256.18,59475.99
45,Male,Australia,Financial Advisor,49946.79,21080.66,5116.4,53205.29
61,Other,France,Financial Advisor,38722.81,23177.58,10280.0,52711.47
61,Male,UK,Trader,24267.88,3742.53,14767.1,59556.13
37,Other,China,Wealth Manager,607.67,6759.99,27775.13,99373.53
47,Other,China,Market Strategist,34904.65,17287.17,27213.58,98734.49
79,Female,China,Compliance Officer,19529.12,25723.18,26162.57,98168.17
28,Male,China,Analyst,31686.02,26768.83,6714.68,54868.44
75,Other,India,Portfolio Manager,30374.03,24965.7,21903.81,31809.39
72,Female,USA,Broker,24093.52,1349.77,11535.58,56011.0
45,Other,France,Compliance Officer,47224.93,24635.33,27938.93,62268.85
42,Other,UK,Financial Advisor,1255.0,26977.78,6475.35,31143.81
56,Other,UK,Financial Advisor,35635.41,1749.64,4280.68,63277.59
79,Other,Australia,Wealth Manager,20551.01,12517.61,25279.44,62199.43
50,Other,Japan,Quantitative Analyst,35718.14,16121.48,21521.38,90347.14
18,Other,Brazil,Quantitative Analyst,33793.46,7020.87,24651.58,23760.36
74,Female,Brazil,Compliance Officer,610.88,15524.74,4780.4,69760.98
44,Other,France,Trader,14338.39,26584.38,26549.54,45076.14
79,Male,India,Portfolio Manager,9535.67,26014.93,20344.73,12991.57
74,Female,Canada,Analyst,8432.62,28198.13,19564.25,31618.27
69,Male,Germany,Market Strategist,36450.99,14549.09,17498.39,5727.7
30,Other,France,Risk Manager,12053.61,12346.48,22958.05,31933.28
58,Male,Canada,Risk Manager,23789.41,19990.35,12497.47,6901.36
20,Other,Germany,Market Strategist,12424.75,12531.98,4028.0,92544.51
56,Other,UK,Trader,29053.67,1306.24,16200.98,10174.6
23,Female,India,Risk Manager,36056.63,21611.65,22455.65,81734.14
25,Female,France,Market Strategist,16620.63,8465.47,4651.74,90612.64
44,Other,China,Analyst,30190.74,1520.11,6759.42,46767.06
26,Female,UK,Financial Advisor,41260.25,667.6,20911.54,5392.62
79,Male,Canada,Risk Manager,4801.79,27944.27,8126.05,59578.57
54,Female,France,Portfolio Manager,35562.46,7599.68,5139.73,23476.84
50,Female,France,Portfolio Manager,16224.93,13464.58,26687.29,17665.84
68,Male,Australia,Portfolio Manager,6220.23,28519.76,4868.82,56676.39
59,Female,USA,Financial Advisor,27328.14,14052.13,10357.25,35638.24
61,Other,UK,Wealth Manager,11390.49,2404.35,12881.49,73037.86
41,Male,France,Financial Advisor,41085.95,16580.48,14310.39,59125.11
32,Other,Brazil,Financial Advisor,2240.51,2691.55,10871.23,82934.13
76,Male,Brazil,Financial Advisor,5022.78,2897.88,27380.53,5838.59
71,Other,USA,Compliance Officer,26097.71,25551.74,19775.83,23491.9
49,Other,France,Quantitative Analyst,29488.2,8718.18,10816.86,56698.97
49,Female,China,Analyst,36521.34,20376.17,10763.71,88042.82
41,Other,USA,Compliance Officer,13037.11,15292.28,15113.43,81343.17
58,Female,USA,Portfolio Manager,42103.84,6708.68,1058.21,67953.13
69,Male,Canada,Trader,47661.8,15558.72,27802.95,57407.2
66,Other,Canada,Wealth Manager,25002.06,2116.36,6738.12,63145.92
79,Other,Japan,Quantitative Analyst,38050.52,10449.01,20942.9,21360.78
66,Male,UK,Market Strategist,26289.93,15708.94,23342.8,59519.32
75,Male,Germany,Trader,3566.4,6890.41,24830.12,49376.16
69,Other,USA,Trader,16372.96,19822.63,5010.99,38443.45
29,Male,Canada,Trader,4465.59,1601.77,16123.96,88773.05
79,Female,India,Wealth Manager,49445.07,14570.06,2556.05,82941.57
56,Male,Japan,Broker,11528.39,21464.12,24153.53,7673.57
19,Male,France,Risk Manager,31831.43,12926.88,14619.22,98572.94
20,Other,UK,Market Strategist,14288.82,26243.86,4796.75,22998.42
66,Female,France,Risk Manager,32696.99,18984.17,21574.43,21533.94
54,Male,Japan,Risk Manager,10599.04,28756.86,9968.54,94381.62
66,Female,Australia,Financial Advisor,39284.98,8559.45,3479.47,44480.24
73,Female,Brazil,Quantitative Analyst,5629.5,28166.74,13859.16,80536.47
34,Female,UK,Market Strategist,44768.0,18224.34,7095.64,28820.23
76,Other,Brazil,Portfolio Manager,42037.04,22368.11,28509.14,87317.11
66,Male,India,Portfolio Manager,33972.49,27069.73,10872.78,83230.48
19,Other,France,Market Strategist,3463.99,16558.36,17194.96,51947.87
19,Male,Australia,Compliance Officer,10507.59,25872.31,28453.41,70505.6
45,Male,India,Quantitative Analyst,42982.14,16273.82,11841.95,96402.82
71,Other,Germany,Broker,6186.52,17996.01,10775.9,45204.54
40,Female,France,Quantitative Analyst,7881.01,13380.7,4914.05,49420.49
54,Female,Japan,Financial Advisor,27245.77,4411.87,28152.19,72280.38
49,Male,Australia,Portfolio Manager,13781.45,16627.42,24032.31,38642.66
50,Other,UK,Analyst,11181.58,29324.57,6669.28,96122.97
18,Female,Australia,Portfolio Manager,28833.09,23626.22,10013.6,4043.58
36,Female,France,Compliance Officer,18691.58,22437.58,27451.61,40337.79
79,Male,Canada,Broker,7113.94,19317.1,16141.52,71385.11
19,Male,India,Quantitative Analyst,26789.2,10469.86,16712.21,42938.06
70,Other,Australia,Trader,19411.92,5129.98,19461.93,25924.86
61,Male,Brazil,Portfolio Manager,36752.39,6775.32,22876.81,41345.42
43,Female,India,Financial Advisor,5227.5,239.35,28181.6,88151.68
49,Female,Brazil,Market Strategist,31068.6,20220.74,24076.64,54700.73
23,Female,Australia,Financial Advisor,21881.02,24365.73,28039.75,33511.02
49,Female,Canada,Trader,20362.49,8103.89,24627.26,67152.3
72,Other,India,Market Strategist,11691.16,2800.92,1440.7,61184.51
21,Other,Japan,Wealth Manager,1618.26,10105.03,3570.16,56044.68
72,Male,India,Market Strategist,42399.69,8796.93,26552.54,39115.73
28,Male,UK,Financial Advisor,16387.86,13553.75,879.51,7220.03
73,Male,Australia,Analyst,34086.44,7959.86,23835.53,62073.15
76,Other,Germany,Wealth Manager,47384.61,10224.99,25502.82,41978.88
34,Female,France,Financial Advisor,28293.02,27231.27,12493.16,42876.41
80,Male,USA,Financial Advisor,19917.63,10078.32,10677.9,23408.04
55,Female,China,Risk Manager,13486.85,23576.27,5872.41,24942.0
41,Male,Germany,Broker,46708.79,18793.72,1515.12,78746.13
22,Male,Brazil,Quantitative Analyst,34135.63,10159.26,22374.22,47936.48
69,Male,Japan,Broker,33297.54,24542.76,2258.13,10929.79
51,Male,Japan,Trader,21365.3,17872.53,28342.86,4585.1
23,Male,China,Financial Advisor,42267.93,308.13,8937.47,22471.55
39,Female,Canada,Trader,35712.24,2108.41,23837.62,48744.18
28,Male,UK,Portfolio Manager,14230.85,22591.55,1837.5,61725.01
80,Female,France,Compliance Officer,30018.98,13423.51,16111.55,14367.88
65,Other,Germany,Trader,21566.68,12194.96,10505.53,43385.9
33,Male,USA,Quantitative Analyst,428.85,4417.52,948.53,7255.22
50,Female,India,Trader,40400.41,4761.69,19691.19,3772.59
26,Other,China,Risk Manager,6229.23,23942.69,28297.72,86334.79
77,Other,Canada,Wealth Manager,25546.73,24879.06,372.05,65833.42
76,Other,Japan,Portfolio Manager,16877.69,16822.08,8149.59,78109.38
23,Female,USA,Risk Manager,17170.24,8889.08,21122.99,18187.74
33,Male,Japan,Financial Advisor,23920.51,27984.39,26144.05,32215.77
46,Male,Australia,Risk Manager,49851.45,18737.67,5763.84,44379.13
20,Female,China,Analyst,20478.15,23909.43,2167.97,65803.43
37,Male,Canada,Financial Advisor,9198.23,148.32,308.81,53484.38
77,Female,India,Compliance Officer,30718.96,13537.07,6495.43,55145.72
76,Male,Brazil,Risk Manager,11890.76,26134.93,2185.95,15694.28
53,Other,Canada,Wealth Manager,5366.9,10180.09,10813.49,47478.7
36,Male,France,Compliance Officer,2603.69,21810.21,13231.77,82379.83
43,Female,India,Trader,1241.78,19747.36,14423.72,50946.09
20,Female,Germany,Risk Manager,21615.12,4608.94,4312.76,19974.18
80,Other,Canada,Portfolio Manager,21393.62,23258.37,13946.44,41339.72
36,Female,India,Broker,9358.72,3420.18,321.1,75480.86
37,Male,Germany,Trader,39222.55,21851.03,7220.66,13499.24
49,Male,Canada,Market Strategist,6550.6,29729.5,11104.13,58046.34
24,Other,USA,Analyst,45774.33,28741.54,3594.63,96531.47
69,Female,Brazil,Portfolio Manager,29420.04,24017.24,24429.44,38030.19
58,Other,USA,Portfolio Manager,1478.06,16058.8,6076.31,4364.12
50,Male,France,Compliance Officer,48152.33,20261.0,22658.95,63310.4
57,Other,India,Broker,15466.27,21856.85,14243.1,4710.35
56,Female,Germany,Wealth Manager,22553.75,301.63,14418.31,19160.57
35,Other,Australia,Compliance Officer,14285.01,3115.87,19373.57,4839.73
57,Female,Canada,Broker,36448.22,17931.92,1376.12,17065.06
18,Female,Australia,Risk Manager,24335.44,245.71,2408.84,85493.22
28,Male,Canada,Analyst,6705.41,27271.72,9838.96,73485.13
45,Male,France,Trader,5299.78,14715.4,12533.83,34185.26
74,Male,Australia,Portfolio Manager,36296.23,7770.12,12926.73,89713.78
42,Female,Germany,Wealth Manager,11930.36,11844.94,20322.77,66518.22
67,Other,UK,Compliance Officer,6975.89,25530.75,71.12,44774.66
40,Female,USA,Analyst,25021.44,27819.43,28775.2,6833.29
48,Male,Germany,Trader,40157.99,3531.24,5275.9,73072.14
47,Male,Japan,Analyst,14011.26,23349.92,7496.52,37552.61
59,Other,China,Portfolio Manager,13893.94,17367.9,27173.53,30282.9
52,Male,France,Risk Manager,41710.67,17585.81,214.47,28827.3
24,Male,Brazil,Wealth Manager,7476.91,23394.59,29739.62,770.92
77,Male,Canada,Broker,30874.71,6724.2,1126.92,74264.52
33,Other,Germany,Market Strategist,47755.17,15954.8,3660.34,14531.03
43,Female,Australia,Wealth Manager,42081.03,9614.61,7241.2,52064.48
65,Male,China,Broker,3184.58,2880.64,13189.71,1608.14
74,Other,UK,Compliance Officer,16063.55,3197.13,15577.62,62788.33
69,Male,Japan,Risk Manager,7204.49,4137.32,3186.32,36949.23
77,Other,Australia,Broker,47467.11,18466.25,2256.53,63074.75
66,Male,USA,Risk Manager,49298.48,3219.61,1004.18,8989.49
19,Other,UK,Analyst,11826.15,17124.61,7739.68,26633.38
18,Male,China,Wealth Manager,33517.98,17669.5,27649.91,11030.68
65,Female,India,Wealth Manager,42097.42,27121.7,11725.78,64607.08
79,Male,India,Portfolio Manager,11760.65,18809.98,22932.02,10855.35
29,Other,China,Wealth Manager,9465.26,29568.36,5746.14,61710.22
22,Male,India,Analyst,659.43,978.23,1987.14,13469.05
54,Female,France,Portfolio Manager,20656.93,21139.18,16650.68,94335.46
49,Male,Germany,Risk Manager,44981.93,843.08,24671.67,41638.07
76,Other,Canada,Financial Advisor,45158.68,21894.86,26958.87,12659.01
72,Other,Germany,Broker,6474.38,11606.21,16408.83,4181.05
26,Female,Japan,Trader,10297.19,18358.67,8856.27,32942.26
58,Other,Germany,Risk Manager,20461.56,9320.67,3329.88,89138.64
52,Male,Germany,Analyst,39053.16,4815.2,20051.29,14381.52
36,Male,USA,Risk Manager,30631.39,21719.2,8449.08,79083.21
65,Male,Canada,Trader,25741.1,27143.38,25326.67,41737.18
33,Other,Germany,Analyst,29637.4,5548.29,18173.38,80292.79
20,Male,Canada,Wealth Manager,4900.36,27625.05,25773.41,87429.13
37,Male,Brazil,Risk Manager,23935.42,4248.45,17021.26,99781.76
41,Male,India,Broker,49603.96,22083.07,23163.68,6819.75
71,Female,Australia,Compliance Officer,4513.46,28785.38,8864.44,79630.13
